1097Q;na;na;na;na;kl,1;n,ff;1;2;1;2;k;;f;5;k;kl,1;na;p;f;6;1;2;1;2;1;2;1;1;k;k;n;1;2;1;1;k;na;2;na;k;int;na;5;2;2;1;1;2
1101Q;1;2;1;na;ab;na;1;1;2;1;f;15432;na;6;na;na;na;p;na;na;2;2;1;1;2;2;2;1;k;na;na;2;2;1;1;na;f;4;na;na;na;sp;6;1;2;1;1;1
2248Q;2;2;1;sp;2;n,ff;1;2;1;1;f;15243;ab;2;na;1;n,ff;na;na;6;2;2;1;1;2;2;2;2;k;k;k;1;1;2;2;k;ks,kt;2;k;k;k;k;5;1;2;1;1;1
2252Q;1;2;1;sp;kl;n,ff;2;1;1;2;k;;f;5;k;ab;na;na;f;5;2;1;2;1;1;2;1;2;k;1;n,ff;1;2;1;2;k;k;2;k;ab;na;fp;8;1;1;1;1;1
3399Q;2;1;1;i;k;k;1;2;1;2;k;;na;3;k;k;n;k;k;6;2;1;2;1;1;2;1;2;k;1;ff;1;2;2;2;k;k;2;k;div;ff;k;5;1;2;1;1;2
4546Q;2;1;1;sp;ab;na;1;2;1;2;u;15 na na na;f;5;k;na;na;k;p;5;2;1;2;1;2;2;1;2;k;k;n;1;1;2;2;k;f;2;k;ab;na;fp;5;2;2;1;1;2
4550Q;0;0;0;sp;x;f;2;2;1;2;f;25413;f;5;e;1,y;n,ff;ab;f;5;1;2;2;2;1;0;0;0;i;k;n;2;1;2;2;k;k;2;e;1;n,ff;k;5;2;2;1;1;2
1100R;1;2;1;k;2;n,ff;2;1;2;1;f;25134;f;4;s;s;na;k;na;5;2;2;2;2;1;2;1;2;k;s;na;1;1;2;2;f;f;2;sp;div,2;fk,ff;sp;5;2;1;1;2;2
2247R;2;1;1;na;ab;na;2;1;2;2;f;15423;f;5;e;ab;na;p;na;0;1;2;1;1;2;na;1;1;k;ab;f;1;2;1;2;f;na;2;k;s;f;sp;7;1;2;1;2;2
2251R;2;1;1;sp;s;f;1;2;1;2;d;25143;f;3;e;ab;na;p;na;5;2;2;1;2;1;1;2;2;k;ab;na;1;2;1;2;ks;f;2;i;k;fk;sp;6;2;2;1;1;2
3398R;2;2;1;k;1;ff;1;2;2;2;d;35124;k;5;k;1;k;k;p;5;2;2;1;1;1;2;1;2;k;x;f;1;1;2;2;ks;f;2;k;k;k;k;5;2;2;1;1;1
3402R;2;2;1;k;na;na;1;2;2;1;k;;f;1;na;na;na;k;p;2;2;1;2;2;1;1;2;2;k;na;na;1;2;1;1;ab;na;6;k;ab;na;k;5;2;1;2;1;2
4549R;2;2;2;na;s;f;1;2;1;2;f;15432;f;4;na;s;f;na;na;5;2;1;1;2;1;2;2;1;i;s;f;1;1;2;1;na;f;5;k;s;f;k;5;1;2;1;1;2
1099S;2;1;1;na;2;n,ff;1;1;1;2;f;25134;na;5;na;div,1;n,ff;k;k;na;2;1;1;2;2;2;1;1;na;na;na;1;2;1;1;na;na;2;na;na;na;k;na;na;na;na;na;na
2250S;2;1;1;sp;k;n;1;na;na;na;k;;f;5;sp;1;n;k;p;5;2;na;na;1;na;2;2;1;k;1;n,ff;1;2;2;1;na;f;2;sp;ab;na;k;9;2;1;1;2;2
3397S;2;0;1;na;1;n,ff;1;1;2;2;k;;ab;5;na;div,1;n,ff;k;k;5;1;1;2;2;2;2;1;2;na;2,x;f;1;1;1;1;na;na;5;na;s;f;k;6;1;2;2;1;1
3401S;2;1;1;sp;s,x;f;2;1;2;2;f;15423;f;0;k;s;f;k;k;7;1;1;2;2;1;2;1;1;k;ab;f;1;2;1;2;ks;f;0;sp;ab;f;sp;0;2;2;1;1;1
4548S;2;2;2;k;k;n,ub;1;2;1;2;k;;na;5;k;k;k;k;k;5;2;2;1;2;1;2;2;1;na;1;f;1;2;1;1;ks;na;2;na;ab;na;k;2;2;1;1;2;2
4552S;2;2;1;k;1;n,ff;1;2;1;2;k;;ku;3;k;k;k;k;k;5;1;2;2;2;2;2;1;1;k;k;n;1;na;1;2;k;f;2;sp;k;int;k;5;1;1;2;2;2
1098T;2;2;1;sp;1,x;f;1;2;1;2;f;15432;f;5;k;k;k;k;k;5;2;1;na;1;1;2;1;2;k;k;k;1;2;1;2;k;k;2;k;k;int;k;5;1;2;1;1;2
1102T;2;1;2;na;na;na;na;na;na;na;na;;na;5;sp;ab;na;na;na;11;1;1;2;1;2;2;1;1;k;ab;na;2;1;2;1;na;na;2;na;na;na;fp;9;1;2;2;1;1
2249T;2;2;1;k;ab;na;2;1;1;2;f;15432;f;4;sp;na;na;ab;na;5;2;2;1;1;1;1;1;2;k;ab;na;1;1;1;2;f;f;5;na;na;na;sp;5;2;1;2;2;1
3396T;1;1;2;sp;s;f;1;2;1;2;f;45123;f;5;na;k;k;k;k;5;1;2;1;2;2;2;1;2;na;x;f;1;1;2;2;k;f;0;na;k;int;sp;4;2;1;2;1;1
3400T;2;2;1;na;3;n,ff;1;2;1;2;d;25143;f;5;k;div,1;ff;k;k;5;2;1;1;1;2;2;1;2;k;1;ff;1;1;1;2;k;ks;2;na;div,3;n,ff;na;5;2;1;1;1;2
4547T;1;2;2;sp;k;n;1;2;1;2;f;25134;f;4;sp;s;ff;k;k;5;2;2;1;1;2;2;1;2;p;k;k;1;1;1;2;k;na;4;str;k;n,fk;fp;0;2;2;1;1;1
4551T;2;1;2;i;s;f;1;2;2;2;d;25143;f;2;k;ab;na;na;f;5;2;2;2;1;2;1;2;2;k;na;na;1;2;1;1;na;na;4;e;s;f;na;3;na;na;1;na;na
1105Q;2;2;1;sp;ab;na;1;2;2;1;d;25143;f;0;p;ab;na;k;na;10;1;1;2;1;2;2;1;2;k;k;n;1;1;2;1;f;f;2;k;k;n,fk;k;5;2;2;1;1;1
2256Q;na;na;na;na;k;k;2;2;1;2;f;15243;f;5;na;div,kl;ff;k;k;na;2;1;1;2;1;2;1;2;na;k;k;2;1;2;2;k;f;2;g;div,1;ff;fp;5;2;2;1;1;2
3403Q;1;1;2;k;ab;na;1;2;2;2;d;25143;ku;5;k;na;na;k;k;3;2;2;1;1;1;2;1;1;p;ab;na;1;2;2;2;k;k;2;k;na;na;k;6;2;2;1;1;2
3407Q;2;2;1;na;s;n,ff;1;2;1;2;d;25143;f;2;sp;2;n,ff;ab;na;2;2;1;1;2;1;2;1;1;k;k;k;1;1;2;2;k;k;2;k;ab;na;k;5;2;2;1;1;2
4554Q;1;1;2;na;na;na;1;2;2;2;f;15423;f;5;na;na;na;na;na;5;2;2;1;2;1;1;2;2;ab;na;na;1;2;2;1;na;na;2;na;na;na;na;5;2;2;1;1;1
1104R;2;1;1;na;k;n;1;2;2;1;na;;na;4;na;1;n,ff;na;na;7;2;1;2;2;1;2;1;1;na;3;n,ff;1;2;1;2;na;na;4;g;div,1,y;f;na;6;2;2;1;1;2
2255R;2;2;1;k;x;n;1;2;1;2;k;;ks;5;k;k;k;k;k;5;2;1;2;1;1;2;1;2;k;k;k;1;2;1;2;f;ks;2;k;k;nb;k;4;2;2;1;1;1
3406R;2;1;1;k;kl;ff;1;2;1;2;f;25341;f;5;na;k;k;k;p;10;2;2;1;1;2;2;1;1;k;1,x;f;1;1;2;2;u;f;2;i;k;int;k;9;2;2;1;1;1
4553R;2;2;1;na;k;k;1;2;1;2;k;;f;5;na;k;k;p;na;6;na;na;na;na;na;2;1;2;na;x;na;1;1;2;na;k;na;2;i;k;int;k;5;2;2;1;1;2
4557R;1;2;2;na;na;na;1;2;1;2;f;15234;f;5;na;na;na;p;f;7;2;1;1;2;1;2;2;1;k;na;na;1;2;1;2;na;na;2;g;s;f;k;2;2;2;1;1;1
1103S;2;2;1;sp;k;n;1;2;1;2;k;;na;5;str;ab;na;k;k;5;2;2;1;1;1;2;1;2;k;k;n;2;1;2;2;k;na;2;na;1,y;f;fp;5;2;2;1;1;2
1107S;2;2;2;sp;ab;na;1;1;2;2;na;;f;5;k;na;na;k;k;5;1;2;2;2;2;2;1;2;k;ab;na;1;na;na;na;na;f;2;ab;ab;na;k;6;1;1;1;1;2
2254S;1;2;1;na;k;k;1;2;2;2;d;25143;f;0;na;s;ff;k;k;5;1;2;2;2;2;2;2;1;na;k;n;2;2;1;2;na;na;0;na;na;na;na;6;2;1;2;1;1
3405S;2;2;1;k;k;n;1;2;1;2;k;;ku;5;k;k;k;k;k;5;2;1;1;1;1;2;1;2;i;s;n,ff;1;2;1;1;ks;f;2;k;k;nb;k;5;2;2;1;1;2
4556S;2;2;1;k;ab;f;1;2;1;2;k;;f;5;k;na;na;k;k;7;2;2;2;2;2;0;0;0;k;na;na;1;2;1;2;f;f;2;sp;ab;na;k;7;1;1;1;1;1
1106T;2;2;1;sp;ab;na;1;na;1;na;na;;na;5;sp;ab;n;k;k;5;2;1;1;1;2;2;1;1;k;k;n;1;2;1;2;k;k;2;i;na;na;fp;3;2;1;2;1;2
2253T;2;2;1;sp;k;n;1;2;1;2;d;25143;f;5;p;s;ff;k;k;5;2;2;1;2;1;2;1;2;k;k;n;1;2;1;2;k;f;2;i;s;f;k;5;1;2;1;1;2
2257T;2;1;2;k;1;ff;1;2;1;2;d;35124;kr;5;sp;k;k;k;k;5;2;1;1;1;1;2;1;2;k;k;k;1;2;1;2;k;k;2;k;k;nb;k;5;1;2;1;1;2
3404T;na;na;na;i;ab;f;na;na;na;na;na;;na;5;sp;p;k;k;k;5;2;2;1;1;1;2;na;na;k;s;n,ff;1;1;2;2;k;ks;2;i;k;int;fp;5;2;2;1;1;1
4555T;2;1;2;na;k;n,d;1;2;1;2;k;;na;5;sp;ab;na;k;k;5;2;2;2;1;1;2;1;2;k;1;n,ff;1;1;2;2;k;na;2;na;div,y;f;k;5;2;2;1;1;2
1109Q;2;1;1;sp;ab;n;2;1;2;1;d;15342;f;5;nl;na;na;na;na;na;na;na;na;na;na;2;1;2;i;ab;f;2;2;1;1;na;na;2;e;k;f;na;na;na;na;na;na;na
1113Q;0;0;0;sp;ab;na;1;2;1;2;d;25143;f;5;na;ab;na;k;k;na;na;na;na;na;na;2;1;2;k;s;n;1;2;1;2;k;na;2;na;div,1;n,ff;k;6;2;2;1;1;1
2260Q;2;2;1;sp;s;na;1;2;1;2;d;25143;na;5;na;na;na;k;k;6;na;na;na;na;na;2;1;2;str;k;k;1;1;2;2;k;k;2;na;div,2;ff;k;2;2;2;1;1;1
3411Q;0;0;0;i;ab;n;1;2;1;2;k;;ku;5;na;ab;f;k;k;6;2;1;2;1;2;2;1;1;k;ab;f;1;2;1;2;na;ks;2;i;ab;f;k;7;2;2;1;1;2
4558Q;2;1;1;i;na;na;1;2;1;2;f;15243;f;5;k;na;f;k;f;5;2;1;2;2;2;2;1;2;i;na;f;1;1;2;2;f;ab;2;ab;na;f;fp;5;2;2;1;1;1
4562Q;2;1;1;na;na;na;1;1;1;2;d;25143;na;na;na;na;na;na;na;5;1;1;1;2;2;2;1;1;na;k;n;1;1;2;2;na;na;2;ab;k;int;k;na;na;na;na;na;na
1108R;2;2;1;sp;1;n;1;2;1;2;k;;k;2;na;ab;f;k;p;7;2;1;1;2;1;2;2;2;na;ab;f;1;1;1;2;na;f;4;k;div,1;ff;k;6;2;2;1;1;2
1112R;2;2;1;sp;na;f;1;1;2;2;f;45123;f;5;e;ab;na;i;na;5;1;2;2;2;1;2;1;2;k;ab;na;1;2;1;2;u;f;2;sp;k;na;k;0;2;2;1;1;1
2259R;1;1;2;sp;s;f;1;1;2;2;f;23154;f;3;k;s;f;na;f;6;1;2;2;1;1;2;1;2;k;ab;f;1;2;1;2;f;ks;0;sp;s;f;sp;5;2;1;2;2;1
2263R;2;1;2;na;na;na;1;2;2;1;d;45132;f;2;na;div;na;na;na;6;2;1;1;2;2;2;1;2;str;na;na;2;1;1;2;na;na;2;na;ab;na;na;5;1;2;1;2;1
3410R;2;2;1;k;na;na;1;2;2;2;f;25431;f;4;na;na;na;na;f;na;1;2;1;2;1;2;2;1;na;na;na;1;2;1;1;na;na;5;k;na;na;k;na;2;2;1;1;2
4561R;1;2;1;k;1;n,ff;1;2;1;2;k;;ks;4;p;1;f;k;k;6;2;2;1;1;2;1;2;1;k;k;n;1;1;2;2;u;k;2;k;div,1;n,ff;fp;6;2;2;1;1;2
1111S;2;1;1;sp;na;na;1;2;1;2;d;25143;ab;5;g;na;na;k;k;5;2;1;1;1;2;2;1;1;k;sp;n;1;1;1;2;na;na;2;g;sp;f;k;2;2;2;1;1;1
2258S;2;1;2;i;3,x;na;2;2;1;2;f;25134;f;5;na;2,y;na;p;na;3;2;2;2;1;2;2;1;1;k;s;ff,n,d;1;2;1;2;f;f;2;sp;s;na;fp;2;2;2;1;1;2
2262S;1;1;2;na;na;na;1;2;2;na;na;;na;na;na;na;na;na;na;na;na;na;na;na;na;2;1;2;k;na;na;1;1;2;2;na;na;na;na;na;na;na;na;na;na;na;na;na
3409S;2;1;2;i;ab;f;1;1;1;2;f;25431;f;4;sp;ab;f;k;k;0;1;2;2;2;2;2;1;1;k;s;f;2;1;2;1;f;f;4;sp;s;f;sp;0;2;2;1;2;1
3413S;2;2;1;str;s;f;1;1;2;2;d;25143;ab;3;ab;s;n,ff;k;k;6;2;1;1;2;1;2;2;2;k;3;n,ff;1;2;1;2;ks;ab;1;sp;2;f;sp;6;2;2;1;1;1
4560S;2;2;1;sp;ab;na;1;2;1;2;f;45123;ku;3;k;ab;na;k;k;5;1;2;1;2;1;1;1;2;k;3;f;1;1;2;2;na;f;4;na;ab;na;fp;5;1;2;1;1;2
1110T;2;2;2;na;ab;na;1;2;2;1;d;45132;f;4;k;ab;na;k;k;5;1;1;2;2;1;2;2;2;k;1;f;1;2;2;2;na;na;4;ab;ab;na;k;2;2;2;2;1;1
2261T;2;2;1;sp;1;n,ff;1;1;2;1;d;25143;f;4;k;k;k;k;k;10;2;1;1;2;1;2;1;2;k;k;n;1;1;1;1;k;ku;0;sp;2;n,ff;fp;5;1;1;2;2;2
3408T;2;2;1;i;3;n,ff;1;2;2;2;d;45132;ku;5;k;k;k;k;k;5;2;1;1;1;1;2;1;2;k;k;n;1;1;2;2;na;na;2;k;ab;na;k;5;na;2;1;1;2
3412T;0;0;na;na;ab;na;1;na;na;na;f;45312;na;4;g;5;n,ff;k;k;6;1;na;na;na;na;na;na;na;k;1;n;1;2;1;na;na;na;0;g;k;na;k;na;1;na;1;na;na
4559T;2;1;2;na;na;na;2;1;2;1;d;35241;f;5;ab;div,kl;f;k;k;2;1;1;1;2;2;2;2;1;na;kl;n,ff;1;1;2;2;ks;kt;2;na;na;na;k;2;1;2;2;1;1
1117Q;2;2;1;sp;k;k;1;1;1;2;k;;na;5;k;k;k;k;k;8;2;2;1;1;1;2;1;2;k;k;k;1;1;2;2;k;na;2;sp;k;nb;k;5;2;2;1;1;2
2264Q;2;2;1;k;kl;ff,d;1;2;1;2;f;25134;k;5;k;kl;ff;k;k;2;2;2;1;2;1;2;1;2;k;k;k;1;2;1;2;k;f;2;k;k;nb;k;5;2;2;1;1;2
2268Q;2;na;na;na;k;n,d;1;1;1;2;d;35241;f;5;ab;k;k;k;k;5;na;1;na;na;na;2;1;2;k;k;n;1;1;2;2;k;na;2;i;k;int;k;5;2;2;1;1;1
3415Q;1;1;2;na;f;f;1;2;1;2;d;25143;f;5;k;f;f;k;k;5;1;2;2;2;1;2;1;1;k;k;n;1;2;1;2;ks;ku;2;i;div,1;n,ff;k;5;2;2;1;1;2
4556Q;2;1;1;sp;1;n,ff;1;2;2;2;k;;f;5;e;ab;na;na;na;na;na;na;na;na;na;2;1;1;na;k;n;1;1;2;2;k;na;2;na;s;n,ff;k;5;2;2;1;1;2
1116R;2;2;2;sp;k;n;1;2;1;na;k;;k;5;s;k;n;k;k;5;2;2;1;1;1;2;2;2;sp;k;n;2;1;2;2;k;na;2;i;1;ff;k;5;2;2;1;1;2
2267R;2;2;1;k;k;k;1;2;1;2;k;;f;5;k;k;k;na;na;5;2;2;1;2;1;2;1;2;na;k;k;1;1;2;2;u;na;2;sp;k;f;k;5;2;2;1;1;2
3414R;2;2;1;sp;na;na;1;1;2;2;k;;ku;2;sp;na;na;p;f;3;1;2;2;2;1;1;2;1;i;na;na;1;2;1;2;ks;na;2;sp;na;na;k;5;1;2;1;1;0
3418R;2;1;1;k;k;k;1;2;1;2;k;;k;5;k;1;ff;p;na;na;1;2;1;2;2;2;1;1;na;na;na;1;2;1;2;na;na;2;k;1;ff;k;5;2;2;1;1;2
4565R;2;2;1;k;k;n;1;2;1;na;f;25134;f;5;k;1;k;k;k;5;2;2;1;1;1;2;1;2;k;1;n,ff;1;1;2;2;na;na;2;sp;k;k;k;5;2;2;1;1;2
1115S;1;2;2;ab;k;k;1;1;2;2;k;;f;5;e;k;k;k;k;5;1;2;1;2;1;1;2;1;k;s;f;2;1;2;2;na;f;4;na;k;k;sp;5;2;2;1;1;1
1119S;2;2;1;i;s;f;1;2;1;2;d;25143;f;4;k;s;f;k;f;0;1;2;2;2;1;1;1;2;k;ab;f;1;2;1;2;k;f;5;i;ab;f;fp;5;1;2;1;1;1
4568S;2;2;1;na;1;ff;1;2;1;2;k;;ks;5;k;k;int;k;k;5;2;2;1;1;1;2;1;2;na;k;n;1;2;1;2;k;na;2;ab;k;int;k;2;1;2;1;1;2
1114T;2;2;1;i;k;n,ub;1;2;1;2;d;25143;na;3;k;k;k;k;k;5;2;1;1;1;1;2;1;1;k;k;k;1;1;2;2;k;kt;2;i;k;n;k;5;2;2;1;1;2
1118T;1;2;1;k;kl;n,ff;1;2;2;2;k;;f;5;k;k;k;k;k;5;2;2;1;1;1;1;2;2;k;kl;ff;1;1;2;2;k;f;4;k;kl;ff;k;5;1;2;1;1;2
2632T;2;2;1;sp;ab;f;1;1;2;2;f;45123;ab;5;k;div;n,ff;k;k;5;2;2;1;1;1;2;1;2;k;k;n;1;2;1;2;ks;ab;2;k;k;fk;fp;6;2;2;1;1;2
2269T;2;2;1;k;x;f;1;2;1;2;k;;ku;5;p;k;k;k;k;5;2;1;1;1;2;2;1;2;k;k;k;1;2;1;2;k;k;2;k;k;nb;k;5;2;2;2;1;1
3416T;na;na;na;na;1;n,ff,ub;1;2;2;2;f;25134;na;5;g;k;k;k;p;2;2;2;1;2;1;2;1;2;k;k;n;1;2;1;2;k;f;4;g;ab;na;sp;6;1;2;1;1;2
4563T;2;2;1;k;k;k;1;2;2;2;f;45123;kr;5;k;k;k;k;k;5;2;2;1;1;1;2;1;2;k;k;k;1;1;2;2;k;f;2;k;k;int;k;5;2;2;1;1;2
4567T;1;2;1;na;ab;na;1;1;1;1;d;25143;ab;5;k;ab;na;p;f;6;2;2;1;2;1;2;1;1;p;na;na;1;1;2;2;ks;na;5;na;na;na;na;2;1;2;2;1;1
